page_1	page_2	page_3	page_4	page_5	page_6	page_7	page_8	page_9	page_10	page_11	page_12	page_13	page_14	page_15	page_16	page_17	page_18	page_19	page_20	page_21	page_22	page_23	page_24	page_25	page_26	page_27	page_28	page_29	page_30
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
690	339	399	296	761	338	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
473	338	473	690	761	515	515	589	761	515	765	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	818	0	0	818	818	818	818	818	818	818	818	818	818	818	818	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
819	819	0	818	981	981	981	818	981	818	981	819	819	0	818	934	934	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	818	818	818	818	818	818	818	818	818	818	818	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
173	157	174	165	173	173	157	664	683	173	157	174	165	173	157	173	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	818	818	818	818	818	818	818	818	485	750	632	1064	1063	1063	1063	1066	1061	1061	1065	1065	1065	1065	1065	1065	485	750	-1	-1
708	708	708	708	708	708	708	708	708	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
732	1064	1063	1066	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	1065	-1	-1	-1	-1	-1
0	773	624	0	773	624	0	773	624	0	773	624	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	222	213	211	282	237	818	237	1115	1114	286	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	818	826	826	818	826	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	818	818	818	818	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	679	824	222	223	818	818	818	818	818	50	818	102	818	818	818	818	21	91	62	108	818	818	59	107	0	818	818	826	-1
